# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.30, M_pmz = 1.0E-03 Msun
# Initial [Fe/H] = -1.38, [alpha/Fe] = 0.0
# M_remnant = 0.858 Msun, M_yield(all) = 2.142 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.359448   1.414538E+00   6.604286E-01
 he   2   11.097456   0.167456   1.526904   7.081342E-01   3.306182E-01
  c   6    8.893051   0.423051   1.782499   1.341418E-02   6.262895E-03
  n   7    7.980431   0.110431   1.469879   1.893103E-03   8.838639E-04
  o   8    7.686088  -1.043912   0.315537   1.098727E-03   5.129804E-04
  f   9    4.836002   0.416002   1.775450   1.842343E-06   8.601646E-07
 ne  10    7.853082  -0.116918   1.242530   2.203909E-03   1.028975E-03
 na  11    5.968521  -0.271479   1.087969   3.025959E-05   1.412779E-05
 mg  12    6.894356  -0.745644   0.613804   2.792229E-04   1.303654E-04
 al  13    5.369092  -1.080908   0.278540   8.934508E-06   4.171399E-06
 si  14    6.275351  -1.274649   0.084799   7.510142E-05   3.506382E-05
  p  15    4.636902  -0.773098   0.586350   1.900547E-06   8.873392E-07
  s  16    5.818031  -1.331969   0.027479   2.990590E-05   1.396266E-05
 cl  17    3.928785  -1.301215   0.058233   4.274854E-07   1.995871E-07
 ar  18    5.082448  -1.357552   0.001896   6.215624E-06   2.901990E-06
  k  19    3.750130  -1.329870   0.029578   3.114792E-07   1.454254E-07
 ca  20    4.928399  -1.361601  -0.002153   4.814235E-06   2.247700E-06
 sc  21    1.929293  -1.120707   0.238741   5.409042E-09   2.525407E-09
 ti  22    3.574204  -1.335796   0.023652   2.548001E-07   1.189627E-07
  v  23    2.605912  -1.354088   0.005360   2.911368E-08   1.359278E-08
 cr  24    4.263396  -1.376604  -0.017155   1.353446E-06   6.319054E-07
 mn  25    4.115531  -1.364469  -0.005021   1.015099E-06   4.739357E-07
 fe  26    6.180552  -1.359448   0.000000   1.199339E-04   5.599551E-05
 co  27    3.841338  -1.028662   0.330786   5.791680E-07   2.704056E-07
 ni  28    4.904292  -1.295708   0.063740   6.723968E-06   3.139329E-06
 cu  29    3.472839  -0.777161   0.582287   2.668764E-07   1.246009E-07
 zn  30    3.486492  -1.143508   0.215940   2.867570E-07   1.338829E-07
 ga  31    2.333547  -0.746453   0.612995   2.131192E-08   9.950241E-09
 ge  32    2.779273  -0.800727   0.558721   6.148472E-08   2.870637E-08
 as  33    1.362264  -0.937736   0.421712   2.443091E-09   1.140646E-09
 se  34    2.667786  -0.672214   0.687234   5.176112E-08   2.416656E-08
 br  35    1.612501  -0.927499   0.431950   4.659883E-09   2.175636E-09
 kr  36    3.141195  -0.108805   1.250643   1.671499E-07   7.803999E-08
 rb  37    2.403016  -0.116984   1.242464   3.092566E-08   1.443877E-08
 sr  38    2.734540  -0.145460   1.213988   6.742909E-08   3.148172E-08
  y  39    2.164027  -0.045973   1.313475   1.836673E-08   8.575174E-09
 zr  40    2.641677   0.111677   1.471125   5.753466E-08   2.686214E-08
 nb  41    1.376151  -0.033849   1.325599   3.127871E-09   1.460360E-09
 mo  42    1.822186  -0.117814   1.241634   9.092820E-09   4.245313E-09
 ru  44    1.512857  -0.247143   1.112305   4.647626E-09   2.169913E-09
 rh  45    0.435036  -0.624964   0.734484   3.967238E-10   1.852249E-10
 pd  46    1.431038  -0.218962   1.140487   4.048994E-09   1.890420E-09
 ag  47    0.636337  -0.563663   0.795785   6.622680E-10   3.092039E-10
 cd  48    1.562977  -0.147023   1.212425   5.808432E-09   2.711877E-09
 in  49    0.427288  -0.332712   1.026736   4.351115E-10   2.031476E-10
 sn  50    2.024904  -0.045096   1.314352   1.775772E-08   8.290836E-09
 sb  51    0.530917  -0.479083   0.880365   5.811880E-10   2.713487E-10
 te  52    1.638928  -0.541072   0.818376   7.684299E-09   3.587694E-09
  i  53    0.615585  -0.934415   0.425034   7.413169E-10   3.461107E-10
 xe  54    1.925263  -0.314737   1.044711   1.569430E-08   7.327452E-09
 cs  55    0.596754  -0.483246   0.876203   7.433970E-10   3.470819E-10
 ba  56    2.714291   0.534291   1.893739   1.008165E-07   4.706985E-08
 la  57    1.655318   0.485318   1.844766   8.890930E-09   4.151053E-09
 ce  58    2.205704   0.625704   1.985152   3.186994E-08   1.487964E-08
