# M_ini =  3.00 Msun, Z = 0.0006, Y = 0.35, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.35, [alpha/Fe] = 0.0
# M_remnant = 0.880 Msun, M_yield(all) = 2.120 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.312702   1.267917E+00   5.981164E-01
 he   2   11.217161   0.287161   1.599863   8.361969E-01   3.944606E-01
  c   6    8.685904   0.215904   1.528606   7.485882E-03   3.531328E-03
  n   7    8.581932   0.711932   2.024634   6.778775E-03   3.197763E-03
  o   8    7.560924  -1.169076   0.143626   7.381979E-04   3.482313E-04
  f   9    4.342472  -0.077528   1.235174   5.300489E-07   2.500408E-07
 ne  10    7.156570  -0.813430   0.499272   3.891324E-04   1.835661E-04
 na  11    5.497265  -0.742735   0.569967   9.163964E-06   4.322932E-06
 mg  12    6.470995  -1.169005   0.143697   9.245879E-05   4.361574E-05
 al  13    5.239390  -1.210610   0.102092   5.940791E-06   2.802460E-06
 si  14    6.259926  -1.290074   0.022628   6.486730E-05   3.059996E-05
  p  15    4.178746  -1.231254   0.081448   5.931960E-07   2.798294E-07
  s  16    5.848366  -1.301634   0.011069   2.870488E-05   1.354100E-05
 cl  17    3.945174  -1.284826   0.027876   3.975802E-07   1.875512E-07
 ar  18    5.127579  -1.312421   0.000282   6.178715E-06   2.914696E-06
  k  19    3.782802  -1.297198   0.015504   3.009748E-07   1.419793E-07
 ca  20    4.975237  -1.314763  -0.002060   4.805229E-06   2.266779E-06
 sc  21    1.858520  -1.191480   0.121222   4.119299E-09   1.943204E-09
 ti  22    3.602256  -1.307744   0.004958   2.433093E-07   1.147767E-07
  v  23    2.643385  -1.316615  -0.003913   2.844759E-08   1.341963E-08
 cr  24    4.308530  -1.331470  -0.018768   1.345828E-06   6.348697E-07
 mn  25    4.165627  -1.314373  -0.001671   1.021128E-06   4.816983E-07
 fe  26    6.227298  -1.312702   0.000000   1.196910E-04   5.646202E-05
 co  27    3.829520  -1.040480   0.272222   5.051997E-07   2.383187E-07
 ni  28    4.923890  -1.276110   0.036592   6.284337E-06   2.964521E-06
 cu  29    3.337981  -0.912019   0.400683   1.754013E-07   8.274235E-08
 zn  30    3.440729  -1.189271   0.123431   2.304844E-07   1.087268E-07
 ga  31    2.174843  -0.905157   0.407545   1.325033E-08   6.250602E-09
 ge  32    2.613090  -0.966910   0.345792   3.758959E-08   1.773220E-08
 as  33    1.229067  -1.070933   0.241770   1.611459E-09   7.601765E-10
 se  34    2.432770  -0.907230   0.405472   2.700013E-08   1.273682E-08
 br  35    1.422714  -1.117286   0.195416   2.694778E-09   1.271212E-09
 kr  36    2.444997  -0.805003   0.507699   2.981474E-08   1.406456E-08
