# M_ini =  5.00 Msun, Z = 0.0006, Y = 0.30, M_pmz = 0.0E+00 Msun
# Initial [Fe/H] = -1.38, [alpha/Fe] = 0.0
# M_remnant = 0.976 Msun, M_yield(all) = 4.024 Msun
#El   Z    log e(X)      [X/H]     [X/Fe]        M_yield        X_yield
  p   1   12.000000   0.000000   1.301982   2.323638E+00   5.774810E-01
 he   2   11.250973   0.320973   1.622955   1.656540E+00   4.116907E-01
  c   6    8.017129  -0.452871   0.849111   2.935190E-03   7.294666E-04
  n   7    9.069983   1.199983   2.501965   3.821913E-02   9.498390E-03
  o   8    7.169112  -1.560888  -0.258907   5.489053E-04   1.364164E-04
  f   9    3.231784  -1.188216   0.113766   7.528467E-08   1.871008E-08
 ne  10    7.339364  -0.630636   0.671346   1.092895E-03   2.716112E-04
 na  11    5.613180  -0.626820   0.675162   2.193190E-05   5.450615E-06
 mg  12    6.778065  -0.861935   0.440047   3.551972E-04   8.827520E-05
 al  13    5.971118  -0.478882   0.823100   5.870163E-05   1.458879E-05
 si  14    6.308024  -1.241976   0.060006   1.329593E-04   3.304364E-05
  p  15    4.451310  -0.958690   0.343292   2.036294E-06   5.060690E-07
  s  16    5.861742  -1.288258   0.013724   5.426305E-05   1.348570E-05
 cl  17    3.971267  -1.258733   0.043249   7.741916E-07   1.924056E-07
 ar  18    5.140415  -1.299585   0.002397   1.166929E-05   2.900104E-06
  k  19    3.813188  -1.266812   0.035170   5.917240E-07   1.470579E-07
 ca  20    4.985867  -1.304133  -0.002151   9.027045E-06   2.243442E-06
 sc  21    1.994001  -1.055999   0.245982   1.031292E-08   2.563014E-09
 ti  22    3.624949  -1.285051   0.016930   4.700790E-07   1.168261E-07
  v  23    2.657407  -1.302593  -0.000611   5.384509E-08   1.338182E-08
 cr  24    4.319131  -1.320869  -0.018887   2.527516E-06   6.281496E-07
 mn  25    4.177935  -1.302065  -0.000084   1.925156E-06   4.784483E-07
 fe  26    6.238018  -1.301982   0.000000   2.248934E-04   5.589152E-05
 co  27    3.840613  -1.029387   0.272595   9.498029E-07   2.360493E-07
 ni  28    4.982296  -1.217704   0.084278   1.326089E-05   3.295655E-06
 cu  29    3.689493  -0.560507   0.741475   7.228214E-07   1.796388E-07
 zn  30    3.704659  -0.925341   0.376640   7.822422E-07   1.944063E-07
 ga  31    2.667345  -0.412655   0.889327   7.552322E-08   1.876937E-08
 ge  32    3.114160  -0.465840   0.836142   2.183063E-07   5.425445E-08
 as  33    1.660914  -0.639086   0.662896   7.982591E-09   1.983869E-09
 se  34    3.008821  -0.331179   0.970803   1.863773E-07   4.631932E-08
 br  35    1.891198  -0.648802   0.653180   1.456384E-08   3.619472E-09
 kr  36    3.227960  -0.022040   1.279942   3.335390E-07   8.289261E-08
 rb  37    2.587871   0.067871   1.369853   7.756965E-08   1.927796E-08
 sr  38    2.782818  -0.097182   1.204799   1.236100E-07   3.072011E-08
  y  39    2.094802  -0.115198   1.186784   2.572532E-08   6.393372E-09
 zr  40    2.406257  -0.123743   1.178239   5.466863E-08   1.358649E-08
 nb  41    1.157974  -0.252026   1.049956   3.109033E-09   7.726707E-10
 mo  42    1.504193  -0.435807   0.866175   7.174139E-09   1.782949E-09
 ru  44    1.167988  -0.592012   0.709970   3.450512E-09   8.575368E-10
 rh  45    0.161219  -0.898781   0.403201   3.469165E-10   8.621724E-11
 pd  46    1.070659  -0.579341   0.722641   2.900127E-09   7.207526E-10
 ag  47    0.333317  -0.866683   0.435298   5.411710E-10   1.344943E-10
 cd  48    1.163255  -0.546745   0.755237   3.799339E-09   9.442288E-10
 in  49    0.036461  -0.723539   0.578443   2.906214E-10   7.222652E-11
 sn  50    1.512046  -0.557954   0.744028   8.943337E-09   2.222638E-09
 sb  51    0.010454  -0.999546   0.302436   2.880102E-10   7.157759E-11
 te  52    1.056035  -1.123965   0.178017   3.298480E-09   8.197529E-10
  i  53    0.349695  -1.200305   0.101677   6.601875E-10   1.640728E-10
 xe  54    1.305820  -0.934180   0.367802   6.169341E-09   1.533232E-09
 cs  55    0.067322  -1.012678   0.289303   3.608626E-10   8.968318E-11
 ba  56    1.678156  -0.501844   0.800137   1.520799E-08   3.779558E-09
 la  57    0.451597  -0.718403   0.583579   9.136515E-10   2.270648E-10
 ce  58    0.816121  -0.763879   0.538103   2.133888E-09   5.303234E-10
 pr  59   -0.163201  -0.923201   0.378781   2.250022E-10   5.591856E-11
 nd  60    0.492482  -0.957518   0.344464   1.038792E-09   2.581653E-10
 sm  62   -0.220179  -1.160179   0.141803   2.092367E-10   5.200045E-11
 eu  63   -0.751059  -1.261059   0.040923   6.267377E-11   1.557597E-11
