84
   1   p   1.008   12.00
   2  he   4.003   10.93
   3  li   6.941    3.26
   4  be   9.012    1.30
   5   b  10.811    2.79
   6   c  12.011    8.47
   7   n  14.007    7.87
   8   o  15.999    8.73
   9   f  18.998    4.42
  10  ne  20.180    7.97
  11  na  22.990    6.24
  12  mg  24.305    7.64
  13  al  26.982    6.45
  14  si  28.086    7.55
  15   p  30.974    5.41
  16   s  32.065    7.15
  17  cl  35.453    5.23
  18  ar  39.948    6.44
  19   k  39.098    5.08
  20  ca  40.078    6.29
  21  sc  44.956    3.05
  22  ti  47.867    4.91
  23   v  50.942    3.96
  24  cr  51.996    5.64
  25  mn  54.938    5.48
  26  fe  55.845    7.54
  27  co  58.933    4.87
  28  ni  58.693    6.20
  29  cu  63.546    4.25
  30  zn  65.409    4.63
  31  ga  69.723    3.08
  32  ge  72.640    3.58
  33  as  74.922    2.30
  34  se  78.960    3.34
  35  br  79.904    2.54
  36  kr  83.798    3.25
  37  rb  85.468    2.52
  38  sr  87.620    2.88
  39   y  88.906    2.21
  40  zr  91.224    2.53
  41  nb  92.906    1.41
  42  mo  95.940    1.94
  43  tc  98.000   -9.00
  44  ru 101.070    1.76
  45  rh 102.906    1.06
  46  pd 106.420    1.65
  47  ag 107.868    1.20
  48  cd 112.411    1.71
  49  in 114.818    0.76
  50  sn 118.710    2.07
  51  sb 121.760    1.01
  52  te 127.600    2.18
  53   i 126.904    1.55
  54  xe 131.293    2.24
  55  cs 132.905    1.08
  56  ba 137.327    2.18
  57  la 138.906    1.17
  58  ce 140.116    1.58
  59  pr 140.908    0.76
  60  nd 144.240    1.45
  61  pm 145.000   -9.00
  62  sm 150.360    0.94
  63  eu 151.964    0.51
  64  gd 157.250    1.05
  65  tb 158.925    0.32
  66  dy 162.500    1.13
  67  ho 164.930    0.47
  68  er 167.259    0.92
  69  tm 168.934    0.12
  70  yb 173.040    0.92
  71  lu 174.967    0.09
  72  hf 178.490    0.71
  73  ta 180.948   -0.12
  74   w 183.840    0.65 
  75  re 186.207    0.26
  76  os 190.230    1.35
  77  ir 192.217    1.32
  78  pt 195.078    1.62
  79  au 196.967    0.80
  80  hg 200.590    1.17
  81  tl 204.383    0.77
  82  pb 207.200    2.04
  83  bi 208.980    0.65
  90  th 232.038    0.02
  92   u 238.028   -0.54
